crop,crop_sha256,px,parent,parent_sha256,panel_note
PMC12686555_FIGURE1__A-p16p21-ACTIN.png,e2b4ac52afcd7d7e1efd382df6bd42cfffd9b4aa1e942d71318f1a1d1e0a7c2a,250x142,PMC12686555_FIGURE1.jpg,71bc57e01365a191b209b8c5e935763a1c7b01d865c2e8154b63fe0a3088adc4,A-p16p21-ACTIN
PMC12686555_FIGURE2__C-HSPA12B-ACTIN.png,feb59dd64b33e5d95772fd03bfc3f7bf31039293e0208197508cbd925910dde7,194x69,PMC12686555_FIGURE2.jpg,0e33807d02ddc9a79ab65ce3b24e966e58c3f17dccd7af8a5c6f5110de2f18e8,C-HSPA12B-ACTIN
PMC12686555_FIGURE2__K-p53p21-ACTIN.png,9f4683479d3b85f9499a9ef344943325b1471376d8fbd1b004c5e13877386b99,286x172,PMC12686555_FIGURE2.jpg,0e33807d02ddc9a79ab65ce3b24e966e58c3f17dccd7af8a5c6f5110de2f18e8,K-p53p21-ACTIN
PMC12708318_Figure5__A1-GSDME-actin.png,f67cf3d287f4a9c75ba45de73d448607dc9f5799b3722ccfbbc3b510f6f223e2,158x99,PMC12708318_Figure5.jpg,d26e6e46c1aa415a1e5edf1fae3fba88e4b99b3d122ed71e331efbfacc31bc24,A1-GSDME-actin
PMC12867876_Figure1__F-Env-actin.png,3df37748a48707b7992ec1f7b5eac0cc45c5e7744a48e9a2d5861bf5619481ad,252x114,PMC12867876_Figure1.jpg,14ef672875bc2797b1a1f39baf84da51f30ecb2de4b39895939e871b6f99cdf7,F-Env-actin
PMC12886003_Figure1__A-H3cr-actin.png,63678cdd6f705cd203f7c19ec4a42ddb202aa9ebc811729a4e5bfdefa6138c28,297x228,PMC12886003_Figure1.jpg,dc113777e486cb84a06779f2291b003d10533851e0b8adc7ebe9f22a30cd141b,A-H3cr-actin
PMC12886003_Figure1__C-H3cr-H3.png,936cd20121c374abdf28c554d3f3e4081977d9a4c6349d901e2966f5f32eda26,257x167,PMC12886003_Figure1.jpg,dc113777e486cb84a06779f2291b003d10533851e0b8adc7ebe9f22a30cd141b,C-H3cr-H3
PMC12895598_Fig3__A-EMT-GAPDH.png,376eb87ea8cb1c2805bfa016828c909ce547f3dde89424052d76d8554898bd50,218x201,PMC12895598_Fig3.jpg,314392fd791b19f49f663e04fcd67ed3a3e4a5163558b2de47f8a0b5d846f6a5,A-EMT-GAPDH
PMC12956003_Figure2__A-Htt-tub.png,2242e9b65ce466080defb7e08058615bdff38e1d4c258388cfc531bda900f020,149x92,PMC12956003_Figure2.jpg,bb677ebf24806082bc19b6c2f55ff41885bdab146d7d4ace58809abc047cc710,A-Htt-tub
PMC13017922_Figure8__D-ABCB1-Actin.png,fcc4a527cd3e440ac2dd6affb2b15e0ab659f0001a752518565ebaf05a93c235,293x149,PMC13017922_Figure8.jpg,667477899d7168ada49137a630ac4443dde095a504a76a049a3b252975bfddbe,D-ABCB1-Actin
PMC13025488_Figure5__C-pSMAD-GAPDH.png,970fc04ae08b7d73e2bb39761bd907b0b314ed104096bca6d09f1777de907637,437x192,PMC13025488_Figure5.jpg,3fd3530d88ca8b853b8d51ffbb2b680aceecbb2699d18928873c747ec2086104,C-pSMAD-GAPDH
PMC13102869_Fig1__B-FXN-VCL.png,7cbd394f4b3f1da6bfebb56e05795100c9ea73d90c836303816476c36f639a01,239x79,PMC13102869_Fig1.jpg,11b60ff48fe74c99c1caa8f75cee209d15ccd8d9e606406c9e50f75c212a9c45,B-FXN-VCL
PMC13102869_Fig1__C-TRKB-VCL.png,32f3fb07e712ba6f29b40fa28a5ce406b18dffa636b3898940646e7c870e0cdd,412x74,PMC13102869_Fig1.jpg,11b60ff48fe74c99c1caa8f75cee209d15ccd8d9e606406c9e50f75c212a9c45,C-TRKB-VCL
PMC13135388_Figure4__E-TIGAR.png,ec64ccd76021a4d46c1f369a1b6cf132fd10ab9a1389a792fdf8579b017bfa54,314x102,PMC13135388_Figure4.jpg,eeeaf20e7a58921715d1ef041be36760d996b80c8135c002cc5da99a95a8a8a1,E-TIGAR
PMC13135410_Figure3__B-Fib-CCN2-GAPDH.png,84eb5498f0b57c6567a7ae7267449d2a3cf3ae4f5ac0a5bc9c3f85ec7da2aeb0,422x139,PMC13135410_Figure3.jpg,24230f7431328320b93649b0a712efeaa38aa3401a1f15573b15b2a27203df46,B-Fib-CCN2-GAPDH
PMC13135410_Figure4__A-PDGFRa-GAPDH.png,08a630d0877a2426416b564b6c41eef3204a3b2b68b42a5cfdf1c0335c3a57c0,488x117,PMC13135410_Figure4.jpg,7d8127c50c34aad956b64e0e31bf3012ed6a13e368e1b7da3ecdb940c9300196,A-PDGFRa-GAPDH
PMC13135410_Figure4__B-PDGFRa-GAPDH.png,78fee15aa6078ed2dfb2916b2edcd6e54fd531cd72842583640df1c9e017c7ae,481x132,PMC13135410_Figure4.jpg,7d8127c50c34aad956b64e0e31bf3012ed6a13e368e1b7da3ecdb940c9300196,B-PDGFRa-GAPDH
PMC13135410_Figure4__C-PDGFRa-GAPDH.png,7d03960e8b03ee37631e2d81cedb519cdf6114b2a2c2f47aedf347a0bdcebce5,489x122,PMC13135410_Figure4.jpg,7d8127c50c34aad956b64e0e31bf3012ed6a13e368e1b7da3ecdb940c9300196,C-PDGFRa-GAPDH
PMC13135388_Figure4__E-Vinculin.png,f5c9a7c2e9802e721e9b1682484c63a5310a05cc6e945a0659427686e09f84fa,322x90,PMC13135388_Figure4.jpg,eeeaf20e7a58921715d1ef041be36760d996b80c8135c002cc5da99a95a8a8a1,E-Vinculin
